00001 A00     0 Cholera                                                      Cholera
00002 A000    1 Cholera due to Vibrio cholerae 01, biovar cholerae           Cholera due to Vibrio cholerae 01, biovar cholerae
00003 A001    1 Cholera due to Vibrio cholerae 01, biovar el tor             Cholera due to Vibrio cholerae 01, biovar el tor
00004 A009    1 Cholera, unspecified                                         Cholera, unspecified
00005 A01     0 Typhoid and paratyphoid fevers                               Typhoid and paratyphoid fevers
00006 A010    1 Typhoid fever                                                Typhoid fever
00007 A011    1 Paratyphoid fever A                                          Paratyphoid fever A
00008 A012    1 Paratyphoid fever B                                          Paratyphoid fever B
00009 A013    1 Paratyphoid fever C                                          Paratyphoid fever C
00010 A014    1 Paratyphoid fever, unspecified                               Paratyphoid fever, unspecified
00011 A02     0 Other Salmonella infections                                  Other Salmonella infections
00012 A020    1 Salmonella gastro-enteritis                                  Salmonella gastro-enteritis
00013 A021    1 Salmonella septicaemia                                       Salmonella septicaemia
00014 A022    1 Localised Salmonella infections                              Localised Salmonella infections
00015 A028    1 Other specified Salmonella infections                        Other specified Salmonella infections
00016 A029    1 Salmonella infection, unspecified                            Salmonella infection, unspecified
00017 A03     0 Shigellosis                                                  Shigellosis
00018 A030    1 Shigellosis due to Shigella dysenteriae                      Shigellosis due to Shigella dysenteriae
00019 A031    1 Shigellosis due to Shigella flexneri                         Shigellosis due to Shigella flexneri
00020 A032    1 Shigellosis due to Shigella boydii                           Shigellosis due to Shigella boydii
00021 A033    1 Shigellosis due to Shigella sonnei                           Shigellosis due to Shigella sonnei
00022 A038    1 Other shigellosis                                            Other shigellosis
00023 A039    1 Shigellosis, unspecified                                     Shigellosis, unspecified
00024 A04     0 Other bacterial intestinal infections                        Other bacterial intestinal infections
00025 A040    1 Enteropathogenic Escherichia coli infection                  Enteropathogenic Escherichia coli infection
00026 A041    1 Enterotoxigenic Escherichia coli infection                   Enterotoxigenic Escherichia coli infection
00027 A042    1 Enteroinvasive Escherichia coli infection                    Enteroinvasive Escherichia coli infection
00028 A043    1 Enterohaemorrhagic Escherichia coli infection                Enterohaemorrhagic Escherichia coli infection
00029 A044    1 Other intestinal Escherichia coli infections                 Other intestinal Escherichia coli infections
00030 A045    1 Campylobacter enteritis                                      Campylobacter enteritis
00031 A046    1 Enteritis due to Yersinia enterocolitica                     Enteritis due to Yersinia enterocolitica
00032 A047    1 Enterocolitis due to Clostridium difficile                   Enterocolitis due to Clostridium difficile
00033 A048    1 Other specified bacterial intestinal infections              Other specified bacterial intestinal infections
00034 A049    1 Bacterial intestinal infection, unspecified                  Bacterial intestinal infection, unspecified
00035 A05     0 Other bacterial foodborne intoxications                      Other bacterial foodborne intoxications
00036 A050    1 Foodborne staphylococcal intoxication                        Foodborne staphylococcal intoxication
00037 A051    1 Botulism                                                     Botulism
00038 A052    1 Foodborne Clostridium perfringens [Clostridium wel           Foodborne Clostridium perfringens [Clostridium welchii] intoxication
00039 A053    1 Foodborne Vibrio parahaemolyticus intoxication               Foodborne Vibrio parahaemolyticus intoxication
00040 A054    1 Foodborne Bacillus cereus intoxication                       Foodborne Bacillus cereus intoxication
00041 A058    1 Other specified bacterial foodborne intoxications            Other specified bacterial foodborne intoxications
00042 A059    1 Bacterial foodborne intoxication, unspecified                Bacterial foodborne intoxication, unspecified
00043 A06     0 Amoebiasis                                                   Amoebiasis
00044 A060    1 Acute amoebic dysentery                                      Acute amoebic dysentery
00045 A061    1 Chronic intestinal amoebiasis                                Chronic intestinal amoebiasis
00046 A062    1 Amoebic nondysenteric colitis                                Amoebic nondysenteric colitis
00047 A063    1 Amoeboma of intestine                                        Amoeboma of intestine
00048 A064    1 Amoebic liver abscess                                        Amoebic liver abscess
00049 A065    1 Amoebic lung abscess                                         Amoebic lung abscess
00050 A066    1 Amoebic brain abscess                                        Amoebic brain abscess
00051 A067    1 Cutaneous amoebiasis                                         Cutaneous amoebiasis
00052 A068    1 Amoebic infection of other sites                             Amoebic infection of other sites
00053 A069    1 Amoebiasis, unspecified                                      Amoebiasis, unspecified
00054 A07     0 Other protozoal intestinal diseases                          Other protozoal intestinal diseases
00055 A070    1 Balantidiasis                                                Balantidiasis
00056 A071    1 Giardiasis [lambliasis]                                      Giardiasis [lambliasis]
00057 A072    1 Cryptosporidiosis                                            Cryptosporidiosis
00058 A073    1 Isosporiasis                                                 Isosporiasis
00059 A078    1 Other specified protozoal intestinal diseases                Other specified protozoal intestinal diseases
00060 A079    1 Protozoal intestinal disease, unspecified                    Protozoal intestinal disease, unspecified
00061 A08     0 Viral and other specified intestinal infections              Viral and other specified intestinal infections
00062 A080    1 Rotaviral enteritis                                          Rotaviral enteritis
00063 A081    1 Acute gastro-enteropathy due to Norwalk agent                Acute gastro-enteropathy due to Norwalk agent
00064 A082    1 Adenoviral enteritis                                         Adenoviral enteritis
00065 A083    1 Other viral enteritis                                        Other viral enteritis
00066 A084    1 Viral intestinal infection, unspecified                      Viral intestinal infection, unspecified
00067 A085    1 Other specified intestinal infections                        Other specified intestinal infections
00068 A09     0 Diarrhoea and gastro-enteritis of presumed infecti           Diarrhoea and gastro-enteritis of presumed infectious origin
00069 A090    1 Other and unspecified gastroenteritis and colitis            Other and unspecified gastroenteritis and colitis of infectious origin
00070 A099    1 Gastroenteritis and colitis of unspecified origin            Gastroenteritis and colitis of unspecified origin
00071 A15     0 Respiratory tuberculosis, bacteriologically and hi           Respiratory tuberculosis, bacteriologically and histologically confirmed
00072 A150    1 Tuberculosis of lung, confirmed by sputum microsco           Tuberculosis of lung, confirmed by sputum microscopy with or without culture
00073 A151    1 Tuberculosis of lung, confirmed by culture only              Tuberculosis of lung, confirmed by culture only
00074 A152    1 Tuberculosis of lung, confirmed histologically               Tuberculosis of lung, confirmed histologically
00075 A153    1 Tuberculosis of lung, confirmed by unspecified mea           Tuberculosis of lung, confirmed by unspecified means
00076 A154    1 Tuberculosis of intrathoracic lymph nodes, confirm           Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
00077 A155    1 Tuberculosis of larynx, trachea and bronchus, conf           Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
00078 A156    1 Tuberculous pleurisy, confirmed bacteriologically            Tuberculous pleurisy, confirmed bacteriologically and histologically
00079 A157    1 Primary respiratory tuberculosis, confirmed bacter           Primary respiratory tuberculosis, confirmed bacteriologically and histologically
